,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Species,Flow,X_Center,Y_Center,X_SD,Y_SD,Z_SD,School_Polar,School_Speed,NND,Area,Groups,Mean_Groups,School_Height,Tailbeat_Freq
14,2024,02,21,30,15,N,N,Cherry Barb,0,11.410029347692706,0.5310159344540113,1.5940428291198938,0.646456449215865,0.14024141968652315,0.31260574501826427,2.2940389515396573,1.2853441139157433,0.12618833908262714,1.0,1.0,0.36912310995402214,0.5865376374095334
15,2024,02,21,30,16,N,N,Cherry Barb,0,11.47832064129281,0.5348305941991077,1.6638815036987828,0.6364928295637864,0.1481804661128777,0.32867422920475126,2.333691498723158,1.3593628847609274,0.11395037365118155,1.0,1.0,0.4034257475252191,0.5472553731895162
16,2024,02,21,30,17,N,N,Cherry Barb,0,11.551199975435845,0.5281652435780686,1.7446509811916433,0.636249428127736,0.14550811552841902,0.36779272851014116,2.0875505845063067,1.337671043917746,0.10071396755627346,1.0,1.0,0.40986807112049317,0.6192196178532473
17,2024,02,21,30,18,N,N,Cherry Barb,0,11.716351259186075,0.5362013887202,1.8530336368920546,0.6552753023664323,0.1260462034014296,0.381391909922981,2.4612070731801508,1.3131018963882313,0.08876466167163871,1.0,1.0,0.3702052406751009,0.6460198694896127
18,2024,02,21,30,19,N,N,Cherry Barb,0,11.982290723461391,0.523849241511728,1.8126313303141133,0.702413940946452,0.13240454743856447,0.4002682332284587,2.6558406728922566,1.4153664081084496,0.08755332492502264,1.0,1.0,0.3764911264330076,0.6261041082548511
19,2024,02,21,30,20,N,N,Cherry Barb,0,12.283367305048563,0.5343546823212927,1.9910576899934203,0.648608645117864,0.164920331454193,0.40497151099342615,2.624287531190349,1.5641212187735334,0.1837165874695769,1.0,1.263157894736842,0.4352658996149441,0.7215866313847246
20,2024,02,21,30,21,N,N,Cherry Barb,0,12.286052212160877,0.5392334281294521,1.9849564027740154,0.5634167882299335,0.13971221864303898,0.3713306273174939,3.0337233855510597,1.687286504830258,0.058400150097984556,2.0,2.789473684210526,0.3626469448033473,1.237786531738779
21,2024,02,21,30,22,N,N,Cherry Barb,0,11.988821139262347,0.5349841498808035,1.8464826136913954,0.6048544229199484,0.10413561838619832,0.36249996457506994,2.9637345455366044,1.5565624596729657,0.01745147546360391,2.0,2.0,0.25295154582307205,0.9131634884022191
22,2024,02,21,30,23,N,N,Cherry Barb,0,11.849463556703935,0.5694609058829846,2.209781359135744,0.605170366324729,0.11170827016743438,0.3571529421204794,1.8853491282324308,1.7587406261187928,0.04136218248088608,2.0,2.1052631578947367,0.29054718027947657,1.4573272572017133
23,2024,02,21,30,24,N,N,Cherry Barb,0,12.054608791892651,0.6268025763154741,2.175516339563395,0.5740399328251558,0.17898647983448648,0.44679314214159854,2.1200870656135384,1.662410991870864,0.0541141718131431,3.0,2.4210526315789473,0.4996637781289813,0.7097216959232049
24,2024,02,21,30,25,N,N,Cherry Barb,0,12.768079942453344,0.6620872318230401,2.2155924868215653,0.6730997716991461,0.16614518231674347,0.4093432697498654,2.8241038113891865,1.7789371144147006,0.11795103702367929,2.0,2.0,0.4414465443604302,0.9443844862592394
25,2024,02,21,30,26,N,N,Cherry Barb,0,13.227840223902351,0.6571036744507718,2.0072243315662956,0.6403440242513891,0.1588890573782721,0.5224819192470146,3.2897588958606634,1.5163390846143732,0.04851155067978313,2.0,1.9473684210526316,0.42048795256785326,0.6311572315554806
26,2024,02,21,30,27,N,N,Cherry Barb,0,13.34150850893332,0.6212684541964858,2.2689536158268635,0.6111229341825802,0.13459626334434438,0.5287068154402818,2.760790660824818,1.7614113496301351,0.0468242965231165,1.0,1.4210526315789473,0.3479268414953279,0.7049062930123816
27,2024,02,21,30,28,N,N,Cherry Barb,0,13.4117799742406,0.6084328193738692,1.609506629926836,0.410865907563281,0.10349329614018209,0.32423364482823686,3.153303294610087,1.9112922783748254,0.010670017172988044,2.0,1.631578947368421,0.2361811912701776,2.0911324931063198
28,2024,02,21,30,29,N,N,Cherry Barb,0,13.733030904663543,0.6259264753849854,1.5407367246821875,0.3446856842902136,0.12498605096392448,0.4978689902903434,3.3145824922807363,1.379262589656794,0.01389096929135571,1.0,1.105263157894737,0.3338004337528766,1.0758874588212395
29,2024,02,21,30,30,N,N,Cherry Barb,0,14.230565763592267,0.6771770347610162,1.2274598938499786,0.3005409127834938,0.09284790824839584,0.43135219032766375,4.194394419806019,1.1452531917549655,0.003565723546674439,1.0,1.0,0.23483610986206238,0.9062255175913165
30,2024,02,21,30,31,N,N,Cherry Barb,0,14.67934380786769,0.7393958578391067,0.7953719056765038,0.2633901662133876,0.02972245386577989,0.2497189331886629,4.032990315289874,,,1.0,1.0,0.05944490773155978,1.3717859068210045
0,2024,02,21,31,1,N,N,Cherry Barb,0,8.923237090977956,0.7651460411467026,1.9640601093150591,0.42210055246964157,0.2810828864364534,0.716426153549364,4.602333991318491,1.3897116474992963,0.8635818897614772,2.0,2.0,0.7378992587347253,2.182452546373725
1,2024,02,21,31,2,N,N,Cherry Barb,0,8.531205876645409,0.7331888149184667,1.8660038200552702,0.48618640087088044,0.29447869206955685,0.6413565251597475,3.434886294758346,1.4886829487085917,0.8120402985745945,2.0,2.0,0.8358701572083668,1.0443546381719453
2,2024,02,21,31,3,N,N,Cherry Barb,0,9.054646010286584,0.692461392353651,3.34919809692689,0.6364951165405258,0.2937314476057232,0.6272198154025471,3.0462050562481267,2.302484935465681,5.79890255702959,2.0,2.3157894736842106,0.842543623243072,1.351507270843505
3,2024,02,21,31,4,N,N,Cherry Barb,0,9.327219382722541,0.7183253457558778,3.832023686786188,0.7955856390100496,0.35667100887235015,0.7794776031743826,3.4030873352204547,1.8118998008319762,32.7218384827784,2.0,2.1578947368421053,1.102392276089255,1.192352899607649
4,2024,02,21,31,5,N,N,Cherry Barb,0,8.88314255150307,0.7500224404002969,3.681776084046254,0.9136394704600925,0.35861283401941263,0.8115878672386725,3.425645504199779,1.7481369133891222,45.72441665753355,3.0,2.6315789473684212,1.0670356004048045,1.209576796506474
5,2024,02,21,31,6,N,N,Cherry Barb,0,8.325784778839255,0.7493753770140947,3.393008162525692,0.9571437416076339,0.33797509545841775,0.7704876066186531,4.339567676270617,1.908996939668094,43.375709308465474,4.0,3.8421052631578947,0.9929237009029709,1.5086638126937926
6,2024,02,21,31,7,N,N,Cherry Barb,0,8.167400396752797,0.7494044352703678,2.947663694020843,0.639395547961364,0.3323505955643695,0.6862065774419933,6.235796255762914,1.884025157506057,25.741487538519063,2.0,2.4210526315789473,1.0401978665777478,1.748504957838091
7,2024,02,21,31,8,N,N,Cherry Barb,0,7.660661310663196,0.7059818859576754,2.64155956595836,0.7814425582988767,0.23676804135794316,0.7134300475829242,3.774629261687895,1.7728356590701175,9.683655829950723,2.0,2.0,0.6580061451868804,1.6280299481019151
8,2024,02,21,31,9,N,N,Cherry Barb,0,7.125394284446121,0.7053122290179402,2.596884375080431,0.9603276261845114,0.27863558195128973,0.7038013938792772,4.154339773387337,1.7020687243610475,14.638315881982981,1.0,1.368421052631579,0.8118735575682718,1.6293640124254396
9,2024,02,21,31,10,N,N,Cherry Barb,0,7.422672541294249,0.6970203063387848,2.1954443813703706,0.6108349051818669,0.22224233475621127,0.48996996878309373,3.1708622308996066,1.587929305496288,1.1774874884198099,2.0,1.5263157894736843,0.6303563272372282,1.2964771251223128
10,2024,02,21,31,11,N,N,Cherry Barb,0,6.8273798721819805,0.6531548772208238,2.6705776287378677,0.9532424997742218,0.2093601638072655,0.5214955141876005,3.397366244051987,1.7559448957536343,2.6586028684098912,3.0,2.5789473684210527,0.580023058905532,1.4423566901111282
11,2024,02,21,31,12,N,N,Cherry Barb,0,6.2093297892834585,0.6206072602363605,2.9193250427019897,0.694774708478111,0.21036401043776506,0.6263905917891108,3.4359229030258316,1.6049701383036108,2.227100202142334,3.0,3.1052631578947367,0.5520873567840646,0.8992355572299939
12,2024,02,21,31,13,N,N,Cherry Barb,0,5.901650402987375,0.5768346726502437,3.1631320874335564,0.921902379115557,0.21763783330280786,0.5871478096790451,3.333303484235805,1.7069521766124351,4.672173696589106,3.0,3.0526315789473686,0.6032041195176691,1.2094165107041859
13,2024,02,21,31,14,N,N,Cherry Barb,0,5.5112330900033735,0.5660720198413917,3.5653424209488933,1.1540467756460702,0.20097652586929968,0.6505852460380873,3.784231184372508,1.928768071349618,9.031003630753887,3.0,3.263157894736842,0.600828089520056,1.6442987735831327
14,2024,02,21,31,15,N,N,Cherry Barb,0,6.944644028370504,0.5502448602251636,3.8579948369226824,1.4884577855992527,0.20660923257481809,0.21475207270718663,2.9066867994743455,2.685748504017929,4.466808296968819,3.0,3.210526315789474,0.5173833026882725,1.4096747480481877
15,2024,02,21,31,16,N,N,Cherry Barb,0,7.221188016269578,0.4543039311575203,3.6368384159792972,1.1141730414636535,0.20904356057211446,0.3205880100506552,3.503422730438755,2.8936924988053803,1.5637745632578006,3.0,2.6315789473684212,0.5479427830276579,1.519287793069621
16,2024,02,21,31,17,N,N,Cherry Barb,0,6.424448921992066,0.4344927298268026,4.677336667511437,1.554540475114991,0.25520615350968395,0.20730767619277432,2.5308128738205915,3.2175188652102884,7.687363760375506,3.0,3.0526315789473686,0.6403736389578109,1.4098676869206315
17,2024,02,21,31,18,N,N,Cherry Barb,0,5.180883859768804,0.6037427986275388,5.051223318719288,1.628899424781477,0.48911502137559787,0.3023515776790239,2.499126450863321,3.388440162747183,76.59498237481931,3.0,3.210526315789474,1.3333469464027676,0.8020769692952703
18,2024,02,21,31,19,N,N,Cherry Barb,0,4.2612112419085175,0.7614774909056701,4.850050791576963,1.3464626432538687,1.1348596894226755,0.2025995225291509,3.3437771361639035,3.4205609649695816,750.7372720439037,5.0,4.842105263157895,3.6062465898589777,0.6082832608939156
19,2024,02,21,31,20,N,N,Cherry Barb,0,4.368984593524223,0.8325054416370005,5.41949902719585,1.2280121126649022,1.2330353489857515,0.18396681754691802,2.640675272832882,4.024910263229537,783.5647499549628,6.0,5.684210526315789,3.8395867371105883,0.7321871146763083
